VideoId,Channelname,Duration,Category,No_views,No_comments,Rating
5_-UZDCsv2M,Ketsuekiko,1057,Film & Animation,401,1011,4.94
wfaCPvwPJCM,lions22rule,1114,Film & Animation,185,386,5
JbJpzHhPZKU,Avatargurl649,1049,Film & Animation,109,2561,4.71
GiEVh41zRP0,ThomsonFinancial,1053,News & Politics,81,98,0
M2UdaF_h0ys,Big100000,1120,Music,24,84,0
gsFyNxoF5fc,suchiha13,961,Music,183,1152,4.76
1DZLOPnkrJo,UFlibraries,1107,Education,496,998,5
Hn8YhLPdzI8,PimpMyChocobo,1114,Film & Animation,238,375,5
dzgdGCQCRk8,super5lady95,1130,Film & Animation,248,276,4.75
oKPAgGdh4Jw,xMimiko,1118,Film & Animation,231,1078,4.93
6KdIGOXexWY,xMimiko,1110,Film & Animation,181,2177,4.91
HLAdLQ78LjU,McLiga4,877,News & Politics,636,11933,4.52
osbHXixhXqQ,puebloplug,1135,Science & Technology,88,1438,4.06
MwO_F-pC9R0,davidisbetterthenyou,1135,Science & Technology,22,445,1.73
HYF5FF7rAoo,batermaster77,0, UNA ,118,1156,4.2
jktvihVzj9U,davoodnpussy,1135,Science & Technology,77,246,2.25
5LhI5Z11Tlo,HadassaCraigdspwkj,1135,Film & Animation,199,844,1.12
RBQoWgXepa4,mistermashup,961,Science & Technology,62,2655,4.5
BJss1OA_ESY,fuzzishaq,1136,Science & Technology,191,132,0
q6e7Jaz4FOc,mistermashup,1030,Education,461,1003,3.83
xsG2hccZPl4,mistermashup,968,News & Politics,245,914,5
OwqFoljnZ-w,mistermashup,1029,Comedy,134,1010,5
QCDeE-OYhn8,mistermashup,981,News & Politics,205,763,5
3o0X5yz1IaY,MovieMaker987,838,Howto & Style,124,17232,0
uAsO8hLcPu4,jddj111,1062,Entertainment,91,2013,3.79
Vxt5ajpjxSs,Naz18h,994,Entertainment,200,24145,2.7
ddpiGvL8uZA,StormProductionzZ,1120,Education,54,147,0
myASNrZtjX4,gilmar406,870,People & Blogs,93,342,3
74tzG-Fj9pU,aradroxar,1024,Howto & Style,79,186,3
oswQDEgzBvA,IrustyshacklefordI,1062,Entertainment,176,2176,3.56
OnYQph0xQjk,CoastermanTB,1092,People & Blogs,443,340,4.8
6zAi1rcchrs,CoastermanTB,1093,People & Blogs,479,2292,2.72
yAO8RB1zGRA,thisisisaac,1042,Howto & Style,44,72,0
iZYqAomoHYA,JohnMoylanIV,1089,Howto & Style,196,314,5
oNeC28mhU1o,dazmondo007,1041,Howto & Style,40,194,5
nZUQTqatZRE,IrustyshacklefordI,1068,Comedy,59,7797,5
kgYdkamOUdc,djluckyluck,1133,Howto & Style,96,95,1
mYAeAMYVjRs,PL4YB3Y0ND,1017,Howto & Style,66,2979,3
ixkgYWijITQ,dchhat007,1135,Entertainment,309,41,0
pwutYAzbOJI,10cutie10,1117,Entertainment,92,59,0
s7GgjGj6pO8,dantheman8679,1096,Howto & Style,39,84,0
nxg3ZXT1v2M,BTNH420,1084,Entertainment,176,340,0
Z7_bd9YdCMM,kitesurffreak,968,Howto & Style,124,303,1
92KZt9gYqZk,DaniiDeanwnsyuv,1135,Music,243,35163,4.68
vONuoewjesY,mudcap16,1134,Music,133,9649,4.8
hTj6ieUXcU8,sora99252,1134,Entertainment,295,6801,4.7
9IwLGLdU4II,9224221550,1135,People & Blogs,77,1101,5
RLgOxur7dBw,DaniiDeanwnsyuv,1135,Music,238,4423,4.62
QeLRteOgxeU,MuzicIdol,1134,Music,498,20898,4.88
7-Trlse6B9g,haircubedspray,1134,People & Blogs,84,665,5
3jUT5KXh5es,jjfridge,1134,Entertainment,124,1048,4.75
B7qcTm5fHRc,RadioKalin,1134,Entertainment,129,3699,4.76
o2-vlyNPaYI,SouljaBoi900,1135,Music,288,799,3.67
LumtG_iXdjA,60543,1136,Music,266,215,3
aetA__BXplg,heatherturnbow,1134,Entertainment,235,17840,4.35
zv4spX-VBak,LynBowenaboj,1135,Entertainment,243,902,0
Oct5i7Tvk94,scottcacciatore1,1135,Entertainment,236,238,0
JfD6KbvJDsc,momrocks2,1135,Entertainment,128,250,3
16F76Li-w_E,ringtones1221,1135,Music,236,1249,5
dwSsJPoyEAA,callieReevesyvar,1135,People & Blogs,189,147,2
L4DICgyB6JE,SanarioSan,620,Film & Animation,502,758085,4.68
h5N-Pk-5ekc,thuylinh511,511,Film & Animation,72,223040,4.62
7nIiTqcYMyg,dreamcortex,561,Film & Animation,153,704458,4.72
JFBHPbEtfqA,SpaceGhost2K,316,Entertainment,178,452836,4.6
lfQ5I2FEFZo,mizuchilondon,745,People & Blogs,317,199448,4.57
YluDS-6LoB4,agerbeek,332,Film & Animation,140,355886,4.41
aIr1_n1bRAY,SanrioCinnamon,669,Entertainment,67,386851,4.46
wUurtulXrnI,karenkong99,611,Music,221,212093,4.52
0TQSMkXuZFs,simple4chi,986,Music,186,19132,4.25
LhcTuuAQeig,tempusmaster,286,People & Blogs,78,185845,4.59
n6nBHKz30UQ,xiaoqiann,798,Entertainment,120,72349,4.78
Du36up8CB04,hellokittyfanchelly,614,Entertainment,60,86084,4.66
eV71mpbvl-g,youryouyou,823,Pets & Animals,26,4316138,4.78
nqU2obMOz0M,EmplehProductions,586,Comedy,763,2057,4.89
IfipxOAvjcw,sailormoonstars90,649,Film & Animation,29,30825,4.45
DBaaMNnewnE,hknetmart2,844,Entertainment,134,59913,4.59
S00MI_yPXXY,hellokittymuseum,438,People & Blogs,35,57702,4.45
J_nPoOckOZs,gdrmsp,855,People & Blogs,189,31381,3.26
sXPi6Fjmhi0,ChibiKiba,464,Music,60,192917,4.39
GDpuAqSzf9Q,SecretLivesOfWomen,1133,Entertainment,40,1981,4.5
W5oYisN-DFk,SecretLivesOfWomen,1133,Entertainment,55,1405,4.43
BBQnwuS4RgA,SecretLivesOfWomen,1134,Entertainment,31,361,3
QxpAy5K8Btg,SecretLivesOfWomen,1133,Entertainment,38,743,4
cWPsL31ALVo,thesecretcollection,1104,Film & Animation,188,344,4.5
hV-_Cg_Wb9E,thesecretcollection,1105,Film & Animation,53,321,5
ZyFRjfDhZbk,bridgingheaven,865,Entertainment,3517,2653,4.27
K-FIEd_CekM,ForaTv,1001,News & Politics,332,7610,4.86
qdKby7boXcU,TubeTop100,866,Entertainment,68,10284,3.29
luB-JA8u8Fk,rasavonwerder,1135,Education,601,488,4.75
